Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000608631599864255,0.000101410841221341,0.0500536423028978,0,0,0,0.725732279372221,0.00116526259312757,3.86984764040053E-06,3.61598634195252E-05,0.00114387939249157,-1.69159565748577E-06,0.000799620765266164,0,0,0,0,0,0,package://GEN72/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/base_link.STL,,00-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,3.54241616239891E-07,-6.04073277655109E-05,-0.0474562076947793,0,0,0,0.511231576042974,0.000959440501675413,-1.90967914521654E-09,-7.95751539476966E-09,0.00102039305288465,1.46570590325123E-06,0.000388714616194907,0,0,0,0,0,0,package://GEN72/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link1.STL,,01-3,坐标系1,基准轴1,joint1,revolute,0,0,0.218,0,0,0,base_link,0,0,1,25,3.141,-3.0014,3.0014,,,,,,,,
Link2,-7.13241796657627E-07,-0.0576246216952895,-3.88440270542586E-05,0,0,0,0.551907023014854,0.00142140348660694,-1.11761928109077E-08,1.36372804172861E-08,0.000525714272398651,1.30499471806307E-06,0.00127234961251408,0,0,0,0,0,0,package://GEN72/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link2.STL,,02-1,坐标系2,基准轴2,joint2,revolute,0,0,0,-1.5708,0,0,Link1,0,0,1,25,3.141,-1.8323,1.8323,,,,,,,,
Link3,0.00897441376214199,2.62633968732563E-05,-0.0738284702130494,0,0,0,0.774130450031732,0.00242102073961797,-6.22596416744622E-07,-0.000489521447339777,0.00248694314969316,-1.4854289556066E-06,0.00090099718971981,0,0,0,0,0,0,package://GEN72/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link3.STL,,03-1,坐标系3,基准轴3,joint3,revolute,0,-0.28,0,1.5708,0,0,Link2,0,0,1,25,3.141,-3.0014,3.0014,,,,,,,,
Link4,-0.0096243903445302,0.0352034287339325,0.000174576348464232,0,0,0,0.437130215853835,0.000866914153248166,0.000148761646913658,-7.42553547350131E-07,0.000267753002587664,2.6805826548563E-06,0.000952324298928138,0,0,0,0,0,0,package://GEN72/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link4.STL,,04-1,坐标系4,基准轴4,joint4,revolute,0.04,0,0,1.5708,0,0,Link3,0,0,1,25,3.141,-2.8792,0.9597,,,,,,,,
Link5,-4.79650184286029E-07,-3.84737693792612E-05,-0.0669554878200541,0,0,0,0.424276753764529,0.0011244489011316,7.56623220194193E-09,-1.71276249932631E-08,0.00103382374928123,8.2469441747875E-07,0.000274640088277484,0,0,0,0,0,0,package://GEN72/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link5.STL,,05-1,坐标系5,基准轴5,joint5,revolute,-0.019,0.2525,0,-1.5708,0,0,Link4,0,0,1,5,3.141,-3.0014,3.0014,,,,,,,,
Link6,0.00184221691932426,0.0379763265035087,-9.21090904324274E-05,0,0,0,0.302793039332829,0.00014011480503376,-3.00204828273403E-06,-4.58155498967514E-10,0.000132631402640971,7.01344540252765E-10,0.000155721320872423,0,0,0,0,0,0,package://GEN72/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link6.STL,,06-1,坐标系6,基准轴6,joint6,revolute,0,0,0,1.5708,0,0,Link5,0,0,1,5,3.141,-1.707,1.783,,,,,,,,
Link7,0.000199885014846801,0.0211000079719058,-4.90848725240361E-08,0,0,0,0.127401822079286,4.95156474993269E-05,3.10143792228514E-12,2.55814128583062E-10,6.12184422048225E-05,-1.37181281244006E-11,4.95166727643872E-05,0,0,0,0,0,0,package://GEN72/meshes/Link7.STL,1,1,1,1,0,0,0,0,0,0,package://GEN72/meshes/Link7.STL,,07-1,坐标系7,基准轴7,joint7,revolute,0.0742,0.067,0,0,0,1.5708,Link6,0,1,0,5,3.141,-3.0014,3.0014,,,,,,,,
