Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00039308,-8.9311E-05,0.050351,0,0,0,0.70684,0.001114,3.3208E-06,-2.5536E-05,0.0011138,1.4832E-06,0.00075793,0,0,0,0,0,0,package://ECO63URDF3/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/base_link.STL,,111-1,baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.032161,-0.002588,-0.0071715,0,0,0,0.7339,0.00065754,-0.00012029,0.00016575,0.0018838,1.5479E-05,0.0017351,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link1.STL,,222-1,link1,line1,joint1,revolute,0,0,0.1625,0,0,0,base_link,0,0,1,0,0,-3.1,3.1,,,,,,,,
Link2,0.19469,6.6139E-07,-0.070874,0,0,0,1.9492,0.001497,1.4887E-07,-0.00045122,0.040644,1.3757E-08,0.040997,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link2.STL,,333-1,link2,line2,joint2,revolute,-0.086,0,0,1.5708,-1.5708,0,Link1,0,0,1,0,0,-3.1,3.1,,,,,,,,
Link3,0.1718,6.3595E-07,0.026691,0,0,0,1.4553,0.00094612,-1.1572E-07,-0.0008623,0.025574,-2.426E-08,0.025646,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link3.STL,,444-1,link3,line3,joint3,revolute,0.41,0,0,0,0,0,Link2,0,0,1,0,0,-2.95,2.76,,,,,,,,
Link4,6.6185E-07,-0.0098798,0.013446,0,0,0,0.27261,0.00023835,2.6006E-09,-2.5717E-09,0.00019072,-4.0013E-05,0.0001713,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link4.STL,,555-1,link4,line4,joint4,revolute,0.38,0,-0.0589,0,0,1.5708,Link3,0,0,1,0,0,-2.44,2.44,,,,,,,,
Link5,-3.0395E-07,7.9935E-05,-0.014767,0,0,0,0.31149,0.00030885,-5.8024E-09,3.5085E-09,0.00024407,-2.2834E-06,0.0002027,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link5.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link5.STL,,666-1,link5,line5,joint5,revolute,0,-0.11,0,1.5708,0,0,Link4,0,0,1,0,0,-3.14,3.14,,,,,,,,
Link6,0.00065547,-0.00036962,-0.015297,0,0,0,0.080797,2.4449E-05,-1.2142E-06,-1.0223E-07,2.3012E-05,6.5765E-08,3.661E-05,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ECO63URDF3/meshes/Link6.STL,,000-1,link6,line6,joint6,revolute,0,0.079501,0,-1.5708,0,0,Link5,0,0,1,0,0,-6.28,6.28,,,,,,,,
